state,year,population
GA,2005,8925922
HI,2005,1292729
ID,2005,1428241
IL,2005,12609903
IN,2005,6278616
IA,2005,2964454
KS,2005,2745299
KY,2005,4182742
LA,2005,4576628
ME,2005,1318787
MD,2005,5592379
MA,2005,6403290
MI,2005,10051137
MN,2005,5119598
MS,2005,2905943
MO,2005,5790300
MT,2005,940102
NE,2005,1761497
NV,2005,2432143
NH,2005,1298492
NJ,2005,8651974
NM,2005,1932274
NY,2005,19132610
NC,2005,8705407
ND,2005,646089
OH,2005,11463320
OK,2005,3548597
OR,2005,3613202
PA,2005,12449990
RI,2005,1067916
SC,2005,4270150
SD,2005,775493
TN,2005,5991057
TX,2005,22778123
UT,2005,2457719
VT,2005,621215
VA,2005,7577105
WA,2005,6257305
WV,2005,1820492
WI,2005,5546166
WY,2005,514157
AL,2006,4628981
AK,2006,675302
AZ,2006,6029141
AR,2006,2821761
CA,2006,36021202
CO,2006,4720423
CT,2006,3517460
DE,2006,859268
DC,2006,570681
FL,2006,18166990
GA,2006,9155813
HI,2006,1309731
ID,2006,1468669
IL,2006,12643955
IN,2006,6332669
IA,2006,2982644
KS,2006,2762931
KY,2006,4219239
LA,2006,4302665
ME,2006,1323619
MD,2006,5627367
MA,2006,6410084
MI,2006,10036081
MN,2006,5163555
MS,2006,2904978
MO,2006,5842704
MT,2006,952692
NE,2006,1772693
NV,2006,2522658
NH,2006,1308389
NJ,2006,8661679
NM,2006,1962137
NY,2006,19104631
NC,2006,8917270
ND,2006,649422
OH,2006,11481213
OK,2006,3594090
OR,2006,3670883
PA,2006,12510809
RI,2006,1063096
SC,2006,4357847
SD,2006,783033
TN,2006,6088766
TX,2006,23359580
UT,2006,2525507
VT,2006,622892
VA,2006,7673725
WA,2006,6370753
WV,2006,1827912
WI,2006,5577655
WY,2006,522667
AL,2007,4672840
AK,2007,680300
AZ,2007,6167681
AR,2007,2848650
CA,2007,36250311
CO,2007,4803868
CT,2007,3527270
DE,2007,871749
DC,2007,574404
FL,2007,18367842
GA,2007,9349988
HI,2007,1315675
ID,2007,1505105
IL,2007,12695866
IN,2007,6379599
IA,2007,2999212
KS,2007,2783785
KY,2007,4256672
LA,2007,4375581
ME,2007,1327040
MD,2007,5653408
MA,2007,6431559
MI,2007,10001284
MN,2007,5207203
MS,2007,2928350
MO,2007,5887612
MT,2007,964706
NE,2007,1783440
NV,2007,2601072
NH,2007,1312540
NJ,2007,8677885
NM,2007,1990070
NY,2007,19132335
NC,2007,9118037
ND,2007,652822
OH,2007,11500468
OK,2007,3634349
OR,2007,3722417
PA,2007,12563937
RI,2007,1057315
SC,2007,4444110
SD,2007,791623
TN,2007,6175727
TX,2007,23831983
UT,2007,2597746
VT,2007,623481
VA,2007,7751000
WA,2007,6461587
WV,2007,1834052
WI,2007,5610775
WY,2007,534876
AL,2008,4718206
AK,2008,687455
AZ,2008,6280362
AR,2008,2874554
CA,2008,36604337
CO,2008,4889730
CT,2008,3545579
DE,2008,883874
DC,2008,580236
FL,2008,18527305
GA,2008,9504843
HI,2008,1332213
ID,2008,1534320
IL,2008,12747038
IN,2008,6424806
IA,2008,3016734
KS,2008,2808076
KY,2008,4289878
LA,2008,4435586
ME,2008,1330509
MD,2008,5684965
MA,2008,6468967
MI,2008,9946889
MN,2008,5247018
MS,2008,2947806
MO,2008,5923916
MT,2008,976415
NE,2008,1796378
NV,2008,2653630
NH,2008,1315906
NJ,2008,8711090
NM,2008,2010662
NY,2008,19212436
NC,2008,9309449
ND,2008,657569
OH,2008,11515391
OK,2008,3668976
OR,2008,3768748
PA,2008,12612285
RI,2008,1055003
SC,2008,4528996
SD,2008,799124
TN,2008,6247411
TX,2008,24309039
UT,2008,2663029
VT,2008,624151
VA,2008,7833496
WA,2008,6562231
WV,2008,1840310
WI,2008,5640996
WY,2008,546043
AL,2009,4757938
AK,2009,698895
AZ,2009,6343154
AR,2009,2896843
CA,2009,36961229
CO,2009,4972195
CT,2009,3561807
DE,2009,891730
DC,2009,592228
FL,2009,18652644
GA,2009,9620846
HI,2009,1346717
ID,2009,1554439
IL,2009,12796778
IN,2009,6459325
IA,2009,3032870
KS,2009,2832704
KY,2009,4317074
LA,2009,4491648
ME,2009,1329590
MD,2009,5730388
MA,2009,6517613
MI,2009,9901591
MN,2009,5281203
MS,2009,2958774
MO,2009,5961088
MT,2009,983982
NE,2009,1812683
NV,2009,2684665
NH,2009,1316102
NJ,2009,8755602
NM,2009,2036802
NY,2009,19307066
NC,2009,9449566
ND,2009,664968
OH,2009,11528896
OK,2009,3717572
OR,2009,3808600
PA,2009,12666858
RI,2009,1053646
SC,2009,4589872
SD,2009,807067
TN,2009,6306019
TX,2009,24801761
UT,2009,2723421
VT,2009,624817
VA,2009,7925937
WA,2009,6667426
WV,2009,1847775
WI,2009,5669264
WY,2009,559851
AL,2010,4779736
AK,2010,710231
AZ,2010,6392017
AR,2010,2915918
CA,2010,37253956
CO,2010,5029196
CT,2010,3574097
DE,2010,897934
DC,2010,601723
FL,2010,18801310
GA,2010,9687653
HI,2010,1360301
ID,2010,1567582
IL,2010,12830632
IN,2010,6483802
IA,2010,3046355
KS,2010,2853118
KY,2010,4339367
LA,2010,4533372
ME,2010,1328361
MD,2010,5773552
MA,2010,6547629
MI,2010,9883640
MN,2010,5303925
MS,2010,2967297
MO,2010,5988927
MT,2010,989415
NE,2010,1826341
NV,2010,2700551
NH,2010,1316470
NJ,2010,8791894
NM,2010,2059179
NY,2010,19378102
NC,2010,9535483
ND,2010,672591
OH,2010,11536504
OK,2010,3751351
OR,2010,3831074
PA,2010,12702379
RI,2010,1052567
SC,2010,4625364
SD,2010,814180
TN,2010,6346105
TX,2010,25145561
UT,2010,2763885
VT,2010,625741
VA,2010,8001024
WA,2010,6724540
WV,2010,1852994
WI,2010,5686986
WY,2010,563626
AL,2011,4799642
AK,2011,722349
AZ,2011,6473416
AR,2011,2941038
CA,2011,37636311
CO,2011,5121900
CT,2011,3588632
DE,2011,907590
DC,2011,620290
FL,2011,19055607
GA,2011,9803630
HI,2011,1379562
ID,2011,1584272
IL,2011,12867783
IN,2011,6517250
IA,2011,3066772
KS,2011,2869677
KY,2011,4370817
LA,2011,4576244
ME,2011,1328473
MD,2011,5840241
MA,2011,6614218
MI,2011,9883053
MN,2011,5346620
MS,2011,2979147
MO,2011,6011182
MT,2011,997518
NE,2011,1840914
NV,2011,2713114
NH,2011,1320444
NJ,2011,8828552
NM,2011,2080707
NY,2011,19499921
NC,2011,9658913
ND,2011,685526
OH,2011,11545735
OK,2011,3788824
OR,2011,3872672
PA,2011,12747052
RI,2011,1053829
SC,2011,4672655
SD,2011,823740
TN,2011,6400298
TX,2011,25645504
UT,2011,2814797
VT,2011,627197
VA,2011,8102437
WA,2011,6827479
WV,2011,1856606
WI,2011,5705840
WY,2011,567491
AL,2012,4816632
AK,2012,730810
AZ,2012,6556344
AR,2012,2952876
CA,2012,37944551
CO,2012,5193660
CT,2012,3595211
DE,2012,915518
DC,2012,635737
FL,2012,19302016
GA,2012,9903580
HI,2012,1395199
ID,2012,1595910
IL,2012,12883029
IN,2012,6538989
IA,2012,3076844
KS,2012,2886024
KY,2012,4387865
LA,2012,4602067
ME,2012,1328094
MD,2012,5888375
MA,2012,6664269
MI,2012,9898289
MN,2012,5377500
MS,2012,2984599
MO,2012,6026027
MT,2012,1004168
NE,2012,1853691
NV,2012,2744670
NH,2012,1324677
NJ,2012,8845671
NM,2012,2087715
NY,2012,19574362
NC,2012,9751810
ND,2012,702227
OH,2012,11550971
OK,2012,3819320
OR,2012,3900102
PA,2012,12769123
RI,2012,1054893
SC,2012,4719027
SD,2012,833859
TN,2012,6455752
TX,2012,26084120
UT,2012,2854146
VT,2012,626361
VA,2012,8187456
WA,2012,6898599
WV,2012,1857446
WI,2012,5720825
WY,2012,576656
AL,2013,4831586
AK,2013,737626
AZ,2013,6634690
AR,2013,2960459
CA,2013,38253768
CO,2013,5270774
CT,2013,3595792
DE,2013,924062
DC,2013,651559
FL,2013,19551678
GA,2013,9975592
HI,2013,1408822
ID,2013,1612053
IL,2013,12895778
IN,2013,6570575
IA,2013,3093935
KS,2013,2894306
KY,2013,4406906
LA,2013,4626040
ME,2013,1328543
MD,2013,5925197
MA,2013,6715158
MI,2013,9914802
MN,2013,5414722
MS,2013,2989839
MO,2013,6042989
MT,2013,1014158
NE,2013,1865813
NV,2013,2776956
NH,2013,1327272
NJ,2013,8857821
NM,2013,2092833
NY,2013,19626488
NC,2013,9846717
ND,2013,723149
OH,2013,11579692
OK,2013,3853891
OR,2013,3924110
PA,2013,12779538
RI,2013,1055560
SC,2013,4766469
SD,2013,842751
TN,2013,6496943
TX,2013,26479646
UT,2013,2898773
VT,2013,626603
VA,2013,8255861
WA,2013,6966252
WV,2013,1854768
WI,2013,5738012
WY,2013,582620
AL,2014,4843737
AK,2014,737075
AZ,2014,6732873
AR,2014,2968759
CA,2014,38586706
CO,2014,5352637
CT,2014,3595697
DE,2014,933131
DC,2014,663603
FL,2014,19853880
GA,2014,10071204
HI,2014,1415335
ID,2014,1632248
IL,2014,12885092
IN,2014,6596019
IA,2014,3110643
KS,2014,2901861
KY,2014,4416992
LA,2014,4645938
ME,2014,1331217
MD,2014,5960064
MA,2014,6764864
MI,2014,9932033
MN,2014,5452665
MS,2014,2991892
MO,2014,6059130
MT,2014,1022657
NE,2014,1879955
NV,2014,2818935
NH,2014,1334257
NJ,2014,8867277
NM,2014,2090236
NY,2014,19653431
NC,2014,9937295
ND,2014,738736
OH,2014,11606573
OK,2014,3879187
OR,2014,3965447
PA,2014,12792392
RI,2014,1056511
SC,2014,4826858
SD,2014,849670
TN,2014,6544617
TX,2014,26963092
UT,2014,2938327
VT,2014,625693
VA,2014,8315430
WA,2014,7057531
WV,2014,1850569
WI,2014,5753199
WY,2014,583159
AL,2015,4854803
AK,2015,738430
AZ,2015,6832810
AR,2015,2979732
CA,2015,38904296
CO,2015,5454328
CT,2015,3588561
DE,2015,942065
DC,2015,677014
FL,2015,20219111
GA,2015,10183353
HI,2015,1422999
ID,2015,1652495
IL,2015,12859585
IN,2015,6611442
IA,2015,3122541
KS,2015,2910717
KY,2015,4429126
LA,2015,4666998
ME,2015,1329098
MD,2015,5988528
MA,2015,6797484
MI,2015,9934483
MN,2015,5484002
MS,2015,2990231
MO,2015,6075411
MT,2015,1031495
NE,2015,1892059
NV,2015,2868531
NH,2015,1337480
NJ,2015,8870312
NM,2015,2090071
NY,2015,19657321
NC,2015,10037218
ND,2015,755537
OH,2015,11622315
OK,2015,3910518
OR,2015,4018542
PA,2015,12789838
RI,2015,1056886
SC,2015,4896006
SD,2015,854663
TN,2015,6595354
TX,2015,27468531
UT,2015,2983626
VT,2015,625810
VA,2015,8367303
WA,2015,7167287
WV,2015,1843332
WI,2015,5762927
WY,2015,586389
AL,2016,4866824
AK,2016,742575
AZ,2016,6944767
AR,2016,2991815
CA,2016,39149186
CO,2016,5543844
CT,2016,3579830
DE,2016,949989
DC,2016,687576
FL,2016,20627237
GA,2016,10308442
HI,2016,1428885
ID,2016,1684036
IL,2016,12821709
IN,2016,6637898
IA,2016,3133210
KS,2016,2912977
KY,2016,4440306
LA,2016,4681346
ME,2016,1332348
MD,2016,6007014
MA,2016,6827280
MI,2016,9954117
MN,2016,5525360
MS,2016,2990595
MO,2016,6091384
MT,2016,1042137
NE,2016,1906483
NV,2016,2919555
NH,2016,1343694
NJ,2016,8873584
NM,2016,2092555
NY,2016,19636391
NC,2016,10161802
ND,2016,756114
OH,2016,11640060
OK,2016,3928143
OR,2016,4093271
PA,2016,12788468
RI,2016,1057816
SC,2016,4963031
SD,2016,863693
TN,2016,6651277
TX,2016,27914064
UT,2016,3044241
VT,2016,624366
VA,2016,8417651
WA,2016,7299961
WV,2016,1832435
WI,2016,5775170
WY,2016,585243
AL,2017,4877989
AK,2017,740983
AZ,2017,7048088
AR,2017,3003855
CA,2017,39337785
CO,2017,5617421
CT,2017,3575324
DE,2017,957942
DC,2017,697079
FL,2017,20977089
GA,2017,10417031
HI,2017,1425763
ID,2017,1719745
IL,2017,12779893
IN,2017,6662068
IA,2017,3143734
KS,2017,2910892
KY,2017,4455590
LA,2017,4673673
ME,2017,1335743
MD,2017,6028186
MA,2017,6863560
MI,2017,9976752
MN,2017,5569283
MS,2017,2990674
MO,2017,6111382
MT,2017,1053862
NE,2017,1916998
NV,2017,2972097
NH,2017,1350395
NJ,2017,8888147
NM,2017,2092844
NY,2017,19593849
NC,2017,10275758
ND,2017,756755
OH,2017,11665706
OK,2017,3933602
