State Name,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2018-19,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2017-18,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2016-17,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2015-16,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2014-15,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2013-14,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2012-13,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2011-12,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2010-11,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2009-10,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2008-09,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2007-08,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2006-07,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2005-06,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2004-05,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2003-04,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2002-03,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2001-02,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2000-01,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 1999-00,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 1998-99,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 1997-98
WEST VIRGINIA,13503,12934,12877,12375,12577,12679,12519,12573,12369,12142,11606,11207,10780,10364,9923,9557,9037,8736,8296,7864,7494,7355
WISCONSIN,14788,13757,13409,13033,12850,12558,12390,12593,13213,12822,12493,12081,11566,11114,10907,10326,10052,9709,9468,8870,8424,8006
WYOMING,19147,19320,20508,21569,20855,19214,18622,18527,18636,19497,19328,18622,17412,13614,13348,11107,10909,10303,8933,8540,8190,7229
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""National Public Education Financial Survey (State Fiscal)"" 1997-98 (FY 1998) v.1b  1998-99 (FY 1999) v.1b  1999-00 (FY 2000) v.1b  2000-01 (FY 2001) v.1b  2001-02 (FY 2002) v.1d  2002-03 (FY 2003) v.1b  2003-04 (FY 2004) v.1b  2004-05 (FY 2005) v.1b  2005-06 (FY 2006) v.1b  2006-07 (FY 2007) v.1b  2007-08 (FY 2008) v.1b  2008-09 (FY 2009) v.1b  2009-10 (FY 2010) v.2a  2010-11 (FY 2011) v.1a  2011-12 (FY 2012) v.1a  2012-13 (FY 2013) v.1a  2013-14 (FY 2014) v.1a  2014-15 (FY 2015) v.1a  2015-16 (FY 2016) v.1a  2016-17 v.1a  2017-18 v.1a  2018-19 v.1a; ""State Nonfiscal Public Elementary/Secondary Education Survey"" 2020-21 v.1a.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
† indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
– indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
