GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""05000""",Arkansas,5,SAPCE2,6,...,   Recreational goods and vehicles,Dollars,454,481,514,536,535,567,623,694,754,817,873,851,780,760,751,750,777,793,777,791,796,822,849,961
" ""05000""",Arkansas,5,SAPCE2,7,...,   Other durable goods,Dollars,237,256,281,303,293,306,320,333,343,363,379,368,358,368,386,397,407,414,428,421,421,426,431,421
" ""05000""",Arkansas,5,SAPCE2,8,...,  Nondurable goods,Dollars,4241,4282,4577,4907,4946,4918,5167,5457,5830,6120,6359,6671,6421,6785,7274,7413,7469,7552,7370,7451,7682,7913,7987,8204
" ""05000""",Arkansas,5,SAPCE2,9,...,   Food and beverages purchased for off-premises consumption,Dollars,1520,1523,1575,1610,1649,1644,1696,1751,1809,1835,1917,1993,2060,2091,2185,2237,2270,2345,2419,2489,2529,2551,2559,2872
" ""05000""",Arkansas,5,SAPCE2,10,...,   Clothing and footwear,Dollars,798,830,861,871,871,863,873,873,896,905,908,887,879,900,932,962,961,983,994,1017,1024,1034,1027,1023
" ""05000""",Arkansas,5,SAPCE2,11,...,   Gasoline and other energy goods,Dollars,640,578,654,843,801,736,836,986,1171,1304,1372,1538,1150,1395,1705,1740,1745,1599,1214,1086,1191,1330,1266,961
" ""05000""",Arkansas,5,SAPCE2,12,...,   Other nondurable goods,Dollars,1284,1351,1487,1582,1625,1676,1761,1847,1955,2076,2162,2253,2332,2401,2453,2474,2494,2626,2744,2860,2938,2998,3135,3348
" ""05000""",Arkansas,5,SAPCE2,13,..., Services,Dollars,9664,10288,10804,11445,12099,12633,13229,13880,14731,15341,15957,16506,16550,16881,17344,17749,18100,18870,19819,20559,21342,22186,22883,22211
" ""05000""",Arkansas,5,SAPCE2,14,...,  Household consumption expenditures (for services),Dollars,9483,10035,10494,11123,11738,12238,12843,13500,14327,14874,15472,15938,15964,16292,16721,17092,17414,18170,19022,19710,20478,21298,22026,21160
" ""05000""",Arkansas,5,SAPCE2,15,...,   Housing and utilities,Dollars,2878,2991,3107,3293,3516,3581,3719,3850,4130,4339,4504,4720,4717,4833,4909,4899,4996,5194,5317,5382,5457,5597,5660,5746
" ""05000""",Arkansas,5,SAPCE2,16,...,   Health care,Dollars,2521,2655,2733,2882,3150,3409,3579,3778,4009,4110,4306,4473,4609,4679,4766,4915,4930,5081,5420,5722,6016,6270,6555,6194
" ""05000""",Arkansas,5,SAPCE2,17,...,   Transportation services,Dollars,406,427,459,474,479,461,471,491,504,521,537,530,498,494,516,518,547,591,614,667,716,739,786,692
" ""05000""",Arkansas,5,SAPCE2,18,...,   Recreation services,Dollars,415,444,480,508,537,572,605,648,673,683,700,699,695,700,712,740,773,796,821,853,875,899,933,740
" ""05000""",Arkansas,5,SAPCE2,19,...,   Food services and accommodations,Dollars,911,942,972,1024,1055,1097,1139,1203,1261,1321,1374,1426,1457,1488,1544,1602,1621,1690,1799,1874,1939,1996,2101,1923
" ""05000""",Arkansas,5,SAPCE2,20,...,   Financial services and insurance,Dollars,1135,1236,1323,1452,1420,1443,1535,1632,1759,1839,1942,1976,1849,1954,2095,2241,2387,2561,2714,2813,3047,3312,3453,3568
" ""05000""",Arkansas,5,SAPCE2,21,...,   Other services,Dollars,1217,1341,1420,1490,1580,1675,1794,1898,1990,2061,2110,2113,2138,2145,2179,2177,2160,2259,2339,2399,2429,2486,2538,2298
" ""05000""",Arkansas,5,SAPCE2,22,...,  Final consumption expenditures of nonprofit institutions serving households (NPISHs),Dollars,180,253,310,323,361,394,386,379,405,467,485,568,586,590,623,656,687,700,796,849,864,888,858,1052
" ""05000""",Arkansas,5,SAPCE2,23,...,   Gross output of nonprofit institutions,Dollars,1271,1410,1519,1570,1683,1816,1824,1911,2062,2181,2291,2444,2553,2646,2749,2865,2929,2992,3235,3417,3595,3732,3823,3861
" ""05000""",Arkansas,5,SAPCE2,24,...,   Less: Receipts from sales of goods and services by nonprofit institutions,Dollars,1090,1157,1210,1248,1322,1421,1438,1531,1657,1715,1805,1875,1967,2057,2126,2209,2242,2292,2439,2568,2732,2844,2966,2810
" ""06000""",California,8,SAPCE2,1,...,Per capita personal consumption expenditures,Dollars,20829,21730,23000,24661,25528,26326,27466,29071,30892,32680,34419,35148,33695,34576,35755,36921,37724,39166,40648,42178,44209,46545,48722,46636
" ""06000""",California,8,SAPCE2,2,..., Goods,Dollars,6899,7195,7783,8462,8674,8948,9256,9820,10342,10780,11105,10770,9747,10100,10643,11033,11163,11540,11775,11942,12426,13012,13491,13868
" ""06000""",California,8,SAPCE2,3,...,  Durable goods,Dollars,2497,2738,3039,3333,3438,3579,3652,3867,4059,4150,4153,3703,3237,3322,3437,3607,3672,3817,4014,4059,4184,4395,4537,4749
" ""06000""",California,8,SAPCE2,4,...,   Motor vehicles and parts,Dollars,843,946,1066,1121,1189,1260,1252,1284,1311,1252,1201,982,833,865,935,1042,1093,1144,1232,1265,1310,1316,1266,1289
" ""06000""",California,8,SAPCE2,5,...,   Furnishings and durable household equipment,Dollars,547,592,663,745,784,812,840,897,955,997,981,871,772,782,793,799,811,856,908,930,971,1041,1083,1158
" ""06000""",California,8,SAPCE2,6,...,   Recreational goods and vehicles,Dollars,771,840,919,1044,1056,1076,1099,1176,1247,1323,1353,1248,1077,1099,1098,1128,1129,1153,1187,1175,1202,1307,1432,1582
" ""06000""",California,8,SAPCE2,7,...,   Other durable goods,Dollars,337,360,392,424,409,431,460,510,546,577,618,602,555,576,611,638,639,664,687,688,701,730,756,719
" ""06000""",California,8,SAPCE2,8,...,  Nondurable goods,Dollars,4402,4457,4744,5129,5236,5369,5605,5952,6283,6630,6952,7067,6509,6778,7206,7426,7491,7723,7761,7883,8242,8617,8953,9120
