state,year,variable_label,num_houses
New York,2018,Total,8363847.0
New York,2019,Total,8404205.0
North Carolina,2005,Total,3940554.0
North Carolina,2006,Total,4026558.0
North Carolina,2007,Total,4124066.0
North Carolina,2008,Total,4200447.0
North Carolina,2009,Total,4258573.0
North Carolina,2010,Total,4333479.0
North Carolina,2011,Total,4362956.0
North Carolina,2012,Total,4375400.0
North Carolina,2013,Total,4394515.0
North Carolina,2014,Total,4452464.0
North Carolina,2015,Total,4491090.0
North Carolina,2016,Total,4540697.0
North Carolina,2017,Total,4622656.0
North Carolina,2018,Total,4684962.0
North Carolina,2019,Total,4748148.0
North Dakota,2005,Total,304458.0
North Dakota,2006,Total,306982.0
North Dakota,2007,Total,310438.0
North Dakota,2008,Total,313018.0
North Dakota,2009,Total,315625.0
North Dakota,2010,Total,318099.0
North Dakota,2011,Total,320888.0
North Dakota,2012,Total,329249.0
North Dakota,2013,Total,339293.0
North Dakota,2014,Total,350534.0
North Dakota,2015,Total,362889.0
North Dakota,2016,Total,368545.0
North Dakota,2017,Total,374591.0
North Dakota,2018,Total,377661.0
North Dakota,2019,Total,379974.0
Ohio,2005,Total,5007091.0
Ohio,2006,Total,5045356.0
Ohio,2007,Total,5065254.0
Ohio,2008,Total,5080242.0
Ohio,2009,Total,5094314.0
Ohio,2010,Total,5128113.0
Ohio,2011,Total,5133528.0
Ohio,2012,Total,5128846.0
Ohio,2013,Total,5124126.0
Ohio,2014,Total,5147282.0
Ohio,2015,Total,5156546.0
Ohio,2016,Total,5164400.0
Ohio,2017,Total,5201701.0
Ohio,2018,Total,5217617.0
Ohio,2019,Total,5232943.0
Oklahoma,2005,Total,1588749.0
Oklahoma,2006,Total,1607416.0
Oklahoma,2007,Total,1623100.0
Oklahoma,2008,Total,1637213.0
Oklahoma,2009,Total,1650184.0
Oklahoma,2010,Total,1666205.0
Oklahoma,2011,Total,1674724.0
Oklahoma,2012,Total,1677646.0
Oklahoma,2013,Total,1682358.0
Oklahoma,2014,Total,1699556.0
Oklahoma,2015,Total,1711515.0
Oklahoma,2016,Total,1721072.0
Oklahoma,2017,Total,1734074.0
Oklahoma,2018,Total,1743073.0
Oklahoma,2019,Total,1749520.0
Oregon,2005,Total,1558421.0
Oregon,2006,Total,1586600.0
Oregon,2007,Total,1609764.0
Oregon,2008,Total,1628902.0
Oregon,2009,Total,1639539.0
Oregon,2010,Total,1676476.0
Oregon,2011,Total,1684244.0
Oregon,2012,Total,1682531.0
Oregon,2013,Total,1684107.0
Oregon,2014,Total,1700611.0
Oregon,2015,Total,1718509.0
Oregon,2016,Total,1732887.0
Oregon,2017,Total,1768582.0
Oregon,2018,Total,1788743.0
Oregon,2019,Total,1808482.0
Pennsylvania,2005,Total,5422362.0
Pennsylvania,2006,Total,5453647.0
Pennsylvania,2007,Total,5478158.0
Pennsylvania,2008,Total,5496509.0
Pennsylvania,2009,Total,5518579.0
Pennsylvania,2010,Total,5568820.0
Pennsylvania,2011,Total,5579394.0
Pennsylvania,2012,Total,5572765.0
Pennsylvania,2013,Total,5565354.0
Pennsylvania,2014,Total,5590712.0
Pennsylvania,2015,Total,5603051.0
Pennsylvania,2016,Total,5611995.0
Pennsylvania,2017,Total,5694402.0
Pennsylvania,2018,Total,5713136.0
Pennsylvania,2019,Total,5732580.0
Puerto Rico,2005,Total,1440683.0
Puerto Rico,2006,Total,1437597.0
Puerto Rico,2007,Total,1434322.0
Puerto Rico,2008,Total,1432203.0
Puerto Rico,2009,Total,1428627.0
Puerto Rico,2010,Total,1637216.0
Puerto Rico,2011,Total,1567959.0
Puerto Rico,2012,Total,1583437.0
Puerto Rico,2013,Total,1572849.0
Puerto Rico,2014,Total,1571275.0
Puerto Rico,2015,Total,1573532.0
Puerto Rico,2016,Total,1555880.0
Puerto Rico,2017,Total,1561802.0
Puerto Rico,2018,Total,1553061.0
Puerto Rico,2019,Total,1559505.0
Rhode Island,2005,Total,447810.0
Rhode Island,2006,Total,449574.0
Rhode Island,2007,Total,450877.0
Rhode Island,2008,Total,451770.0
Rhode Island,2009,Total,452180.0
Rhode Island,2010,Total,463416.0
Rhode Island,2011,Total,464741.0
Rhode Island,2012,Total,462618.0
Rhode Island,2013,Total,461658.0
Rhode Island,2014,Total,462630.0
Rhode Island,2015,Total,462555.0
Rhode Island,2016,Total,462598.0
Rhode Island,2017,Total,468266.0
Rhode Island,2018,Total,469153.0
Rhode Island,2019,Total,470177.0
South Carolina,2005,Total,1927864.0
South Carolina,2006,Total,1975816.0
South Carolina,2007,Total,2022033.0
South Carolina,2008,Total,2056179.0
South Carolina,2009,Total,2084361.0
South Carolina,2010,Total,2140337.0
South Carolina,2011,Total,2157063.0
South Carolina,2012,Total,2156768.0
South Carolina,2013,Total,2158784.0
South Carolina,2014,Total,2188258.0
South Carolina,2015,Total,2210150.0
South Carolina,2016,Total,2236262.0
South Carolina,2017,Total,2284820.0
South Carolina,2018,Total,2318291.0
South Carolina,2019,Total,2351364.0
South Dakota,2005,Total,347931.0
South Dakota,2006,Total,352289.0
South Dakota,2007,Total,356264.0
South Dakota,2008,Total,361455.0
South Dakota,2009,Total,364691.0
South Dakota,2010,Total,364031.0
South Dakota,2011,Total,366521.0
South Dakota,2012,Total,368247.0
South Dakota,2013,Total,370207.0
South Dakota,2014,Total,376347.0
South Dakota,2015,Total,380307.0
South Dakota,2016,Total,383827.0
South Dakota,2017,Total,392650.0
South Dakota,2018,Total,397506.0
South Dakota,2019,Total,401749.0
Tennessee,2005,Total,2637441.0
Tennessee,2006,Total,2681320.0
Tennessee,2007,Total,2724929.0
Tennessee,2008,Total,2758261.0
Tennessee,2009,Total,2780788.0
Tennessee,2010,Total,2815087.0
Tennessee,2011,Total,2829125.0
Tennessee,2012,Total,2834808.0
Tennessee,2013,Total,2840998.0
Tennessee,2014,Total,2869419.0
Tennessee,2015,Total,2892407.0
Tennessee,2016,Total,2919698.0
Tennessee,2017,Total,2958799.0
Tennessee,2018,Total,2992412.0
Tennessee,2019,Total,3028437.0
Texas,2005,Total,9026011.0
Texas,2006,Total,9224920.0
Texas,2007,Total,9433119.0
Texas,2008,Total,9599073.0
Texas,2009,Total,9724258.0
Texas,2010,Total,9996209.0
Texas,2011,Total,10099242.0
Texas,2012,Total,10154835.0
Texas,2013,Total,10256203.0
Texas,2014,Total,10426760.0
Texas,2015,Total,10588236.0
Texas,2016,Total,10754268.0
Texas,2017,Total,10933375.0
Texas,2018,Total,11101498.0
Texas,2019,Total,11283892.0
Utah,2005,Total,873097.0
Utah,2006,Total,901322.0
Utah,2007,Total,925295.0
Utah,2008,Total,944475.0
Utah,2009,Total,952860.0
Utah,2010,Total,981821.0
Utah,2011,Total,993125.0
Utah,2012,Total,996777.0
Utah,2013,Total,1006164.0
Utah,2014,Total,1022593.0
Utah,2015,Total,1038065.0
Utah,2016,Total,1054242.0
Utah,2017,Total,1084685.0
Utah,2018,Total,1108739.0
Utah,2019,Total,1133543.0
Vermont,2005,Total,307345.0
Vermont,2006,Total,309566.0
Vermont,2007,Total,311420.0
Vermont,2008,Total,312618.0
Vermont,2009,Total,314259.0
Vermont,2010,Total,322698.0
Vermont,2011,Total,324385.0
Vermont,2012,Total,324052.0
Vermont,2013,Total,323936.0
Vermont,2014,Total,325774.0
Vermont,2015,Total,326874.0
Vermont,2016,Total,329539.0
Vermont,2017,Total,335248.0
Vermont,2018,Total,337133.0
Vermont,2019,Total,339412.0
Virginia,2005,Total,3174708.0
Virginia,2006,Total,3230821.0
Virginia,2007,Total,3273206.0
Virginia,2008,Total,3306473.0
Virginia,2009,Total,3330481.0
Virginia,2010,Total,3368674.0
Virginia,2011,Total,3387801.0
Virginia,2012,Total,3398389.0
Virginia,2013,Total,3412577.0
Virginia,2014,Total,3446585.0
Virginia,2015,Total,3468952.0
Virginia,2016,Total,3491185.0
Virginia,2017,Total,3512917.0
Virginia,2018,Total,3538985.0
Virginia,2019,Total,3562258.0
Washington,2005,Total,2651645.0
Washington,2006,Total,2699658.0
Washington,2007,Total,2744324.0
Washington,2008,Total,2791765.0
Washington,2009,Total,2814297.0
Washington,2010,Total,2888594.0
Washington,2011,Total,2907605.0
Washington,2012,Total,2914775.0
Washington,2013,Total,2928300.0
Washington,2014,Total,2963293.0
Washington,2015,Total,2991584.0
Washington,2016,Total,3025802.0
Washington,2017,Total,3103263.0
Washington,2018,Total,3148084.0
Washington,2019,Total,3195098.0
West Virginia,2005,Total,872203.0
West Virginia,2006,Total,877587.0
West Virginia,2007,Total,882631.0
West Virginia,2008,Total,886419.0
West Virginia,2009,Total,893766.0
West Virginia,2010,Total,882213.0
West Virginia,2011,Total,881821.0
West Virginia,2012,Total,882800.0
West Virginia,2013,Total,879424.0
West Virginia,2014,Total,884574.0
West Virginia,2015,Total,885539.0
West Virginia,2016,Total,886710.0
West Virginia,2017,Total,892240.0
West Virginia,2018,Total,893742.0
West Virginia,2019,Total,894983.0
Wisconsin,2005,Total,2498500.0
Wisconsin,2006,Total,2532958.0
Wisconsin,2007,Total,2558278.0
Wisconsin,2008,Total,2568752.0
Wisconsin,2009,Total,2584342.0
Wisconsin,2010,Total,2625477.0
Wisconsin,2011,Total,2634806.0
Wisconsin,2012,Total,2632625.0
Wisconsin,2013,Total,2633420.0
Wisconsin,2014,Total,2648342.0
Wisconsin,2015,Total,2656669.0
Wisconsin,2016,Total,2668443.0
Wisconsin,2017,Total,2695303.0
Wisconsin,2018,Total,2710718.0
Wisconsin,2019,Total,2725153.0
Wyoming,2005,Total,235721.0
Wyoming,2006,Total,239088.0
Wyoming,2007,Total,242344.0
Wyoming,2008,Total,246418.0
Wyoming,2009,Total,249404.0
Wyoming,2010,Total,262286.0
Wyoming,2011,Total,265554.0
Wyoming,2012,Total,265207.0
Wyoming,2013,Total,265471.0
Wyoming,2014,Total,268205.0
Wyoming,2015,Total,269469.0
Wyoming,2016,Total,270625.0
Wyoming,2017,Total,276733.0
Wyoming,2018,Total,278615.0
Wyoming,2019,Total,280281.0
Alabama,2005,Total,2082140.0
Alabama,2006,Total,2110139.0
Alabama,2007,Total,2137012.0
Alabama,2008,Total,2158692.0
Alabama,2009,Total,2182358.0
Alabama,2010,Total,2174428.0
Alabama,2011,Total,2182199.0
Alabama,2012,Total,2189567.0
Alabama,2013,Total,2190027.0
Alabama,2014,Total,2208030.0
Alabama,2015,Total,2218391.0
Alabama,2016,Total,2230180.0
Alabama,2017,Total,2258669.0
Alabama,2018,Total,2274711.0
Alabama,2019,Total,2284922.0
Alaska,2005,Total,274246.0
Alaska,2006,Total,276590.0
Alaska,2007,Total,282271.0
Alaska,2008,Total,283403.0
Alaska,2009,Total,283895.0
Alaska,2010,Total,307065.0
Alaska,2011,Total,311182.0
Alaska,2012,Total,307628.0
Alaska,2013,Total,307417.0
Alaska,2014,Total,308571.0
Alaska,2015,Total,309453.0
Alaska,2016,Total,310672.0
Alaska,2017,Total,316968.0
Alaska,2018,Total,318352.0
Alaska,2019,Total,319867.0
Arizona,2005,Total,2544806.0
Arizona,2006,Total,2605095.0
Arizona,2007,Total,2667550.0
Arizona,2008,Total,2722712.0
Arizona,2009,Total,2753059.0
Arizona,2010,Total,2846738.0
